ProductID,ProductName,SupplierID,CategoryID,QuantityPerUnit,UnitPrice,UnitsInStock,UnitsOnOrder,ReorderLevel,Discontinued
1,Long,133,3,81 pcs,65.33,108,30,14,True
2,Chair,298,7,87 pcs,80.88,873,94,12,True
3,Film,18,6,6 pcs,25.56,68,35,20,False
4,Floor,405,1,15 pcs,94.37,79,3,18,True
5,Size,198,5,62 pcs,74.74,665,89,17,True
6,Through,40,3,21 pcs,55.77,596,67,19,True
7,Include,137,2,7 pcs,20.47,723,14,14,False
8,Begin,301,1,84 pcs,85.98,310,12,14,False
9,Character,135,7,31 pcs,54.12,181,94,20,False
10,Increase,239,10,20 pcs,99.62,666,40,10,False
11,Like,236,7,11 pcs,68.88,783,91,12,False
12,Behavior,83,5,51 pcs,40.36,480,45,15,False
13,Low,281,1,48 pcs,54.72,980,32,13,False
14,Consider,396,8,65 pcs,27.07,238,65,12,True
15,Movie,371,5,53 pcs,69.04,812,84,17,False
16,Minute,19,10,1 pcs,12.89,651,58,12,False
17,Be,15,3,18 pcs,13.6,397,96,20,True
18,Perform,287,8,46 pcs,35.08,550,49,10,False
19,Together,362,1,17 pcs,88.9,46,9,20,True
20,Area,26,7,62 pcs,90.06,631,86,10,False
21,Outside,390,5,59 pcs,51.57,753,19,19,False
22,Help,293,1,74 pcs,31.13,391,26,12,False
23,Forward,80,1,96 pcs,92.86,700,20,18,False
24,Stand,496,3,59 pcs,61.61,86,23,19,True
25,Method,255,5,6 pcs,72.94,234,82,16,True
26,New,346,1,64 pcs,25.94,168,45,16,False
27,Herself,429,9,28 pcs,24.08,718,4,19,False
28,Than,432,4,14 pcs,53.45,992,8,14,False
29,None,378,7,65 pcs,99.58,185,50,13,False
30,Nothing,486,2,22 pcs,29.63,226,4,10,False
31,Receive,348,9,6 pcs,2.59,738,80,18,False
32,Evening,125,10,32 pcs,79.19,953,72,11,False
33,Why,245,3,99 pcs,66.14,173,13,11,False
34,Myself,282,5,14 pcs,78.09,380,38,11,False
35,Career,175,1,20 pcs,80.39,951,60,19,False
36,Form,228,10,57 pcs,17.78,660,7,15,True
37,Open,44,3,57 pcs,52.08,815,82,20,True
38,Market,451,6,82 pcs,85.09,120,19,18,False
39,Process,391,5,50 pcs,17.86,571,5,13,False
40,East,406,8,95 pcs,63.91,179,43,12,False
41,Room,491,4,6 pcs,66.43,627,43,17,True
42,Over,478,9,4 pcs,69.42,401,24,14,True
43,Most,41,6,67 pcs,15.51,518,71,15,False
44,Product,121,7,84 pcs,21.39,747,48,15,False
45,Even,146,1,88 pcs,61.58,3,1,13,True
46,Side,455,2,43 pcs,46.51,375,84,14,True
47,Concern,276,2,63 pcs,77.1,318,13,20,False
48,Draw,363,4,5 pcs,90.02,598,91,12,False
49,Would,145,1,32 pcs,15.71,74,3,10,False
50,Serve,96,7,66 pcs,35.95,104,17,20,True
51,Single,228,1,35 pcs,7.4,454,16,19,False
52,Everyone,314,5,19 pcs,21.74,555,54,20,False
53,Top,278,10,58 pcs,98.97,503,63,18,False
54,Low,140,8,46 pcs,39.7,648,14,13,False
55,Wait,339,5,13 pcs,8.08,597,98,13,True
56,Mean,56,2,20 pcs,94.91,694,46,11,True
57,Measure,103,7,14 pcs,49.25,648,85,10,False
58,Office,139,10,85 pcs,10.15,818,26,16,True
59,Beautiful,131,10,8 pcs,24.61,594,92,20,False
60,Gas,421,6,93 pcs,18.54,333,10,11,False
61,Western,310,5,37 pcs,50.04,938,3,14,False
62,Off,478,10,62 pcs,73.64,376,29,13,False
63,Determine,94,7,48 pcs,88.28,822,2,20,True
